,Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
0,API,Olark Chat,No,0,0.0,0,0.0,Page Visited on Website,Other,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Low in Relevance,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
1,API,Organic Search,No,0,5.0,674,2.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
2,Landing Page Submission,Direct Traffic,No,1,2.0,1532,2.0,Email Opened,India,Business Administration,Select,Student,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,Yes,Email Opened
3,Landing Page Submission,Direct Traffic,No,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,Modified
4,Landing Page Submission,Google,No,1,2.0,1428,1.0,Converted to Lead,India,Select,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Modified
5,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
6,Landing Page Submission,Google,No,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Modified
7,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
8,Landing Page Submission,Direct Traffic,No,0,2.0,71,2.0,Email Opened,India,IT Projects Management,Other,Other,Other,Other,Other,Other,Thane & Outskirts,02.Medium,02.Medium,14.0,14.0,Yes,Email Opened
9,API,Google,No,0,4.0,58,4.0,Email Opened,India,Finance Management,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,13.0,16.0,No,Email Opened
10,Landing Page Submission,Organic Search,No,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Metro Cities,02.Medium,02.Medium,15.0,14.0,Yes,Email Opened
11,Landing Page Submission,Direct Traffic,No,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Lost to EINS,Other,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,Yes,Page Visited on Website
12,API,Organic Search,No,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Select,01.High,02.Medium,16.0,16.0,No,Modified
13,Landing Page Submission,Organic Search,No,0,5.0,170,5.0,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,Yes,Email Opened
14,Landing Page Submission,Direct Traffic,Yes,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,01.High,01.High,16.0,17.0,No,Email Bounced
15,API,Organic Search,No,1,6.0,1012,6.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
16,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
17,API,Referral Sites,No,0,6.0,973,6.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Might be,Select,Select,02.Medium,02.Medium,13.0,13.0,No,Modified
18,Landing Page Submission,Google,No,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,Other,Other,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Page Visited on Website
19,API,Organic Search,No,0,3.0,98,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Worst,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
20,Landing Page Submission,Google,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,Modified
21,API,Google,No,0,4.0,377,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,In confusion whether part time or DLP,Worst,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,Modified
22,Landing Page Submission,Google,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Modified
23,Landing Page Submission,Google,No,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Email Link Clicked
24,API,Google,No,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Email Opened
25,Landing Page Submission,Google,No,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Modified
26,Landing Page Submission,Organic Search,No,1,4.0,1000,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Other Cities,03.Low,01.High,11.0,18.0,Yes,Email Opened
27,Landing Page Submission,Google,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,19.0,No,Email Opened
28,Landing Page Submission,Direct Traffic,No,0,5.0,182,5.0,Email Opened,India,Select,Select,Student,Better Career Prospects,switched off,Other,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
29,API,Google,No,1,3.0,78,3.0,Unreachable,India,International Business,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,01.High,01.High,16.0,18.0,No,Unreachable
30,Landing Page Submission,Direct Traffic,No,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,15.0,18.0,Yes,Email Opened
31,API,Google,No,0,3.0,88,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Select,Select,02.Medium,02.Medium,13.0,15.0,No,Modified
32,API,Referral Sites,No,0,4.0,223,2.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Low in Relevance,Select,Select,02.Medium,02.Medium,15.0,13.0,No,Modified
33,API,Organic Search,No,0,3.0,74,1.5,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,03.Low,02.Medium,12.0,15.0,No,Modified
34,Landing Page Submission,Organic Search,No,1,4.0,16,2.0,Page Visited on Website,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,Yes,Modified
35,API,Referral Sites,No,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,Modified
36,Landing Page Submission,Google,No,0,4.0,1622,4.0,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,03.Low,01.High,12.0,18.0,No,Modified
37,Landing Page Submission,Google,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,Email Opened
38,API,Google,No,0,2.0,310,2.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Link Clicked
39,Landing Page Submission,Google,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,Email Opened
40,API,Direct Traffic,No,0,3.0,342,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Busy,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
41,Landing Page Submission,Organic Search,Yes,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,Busy,Not Sure,Other Leads,Mumbai,02.Medium,01.High,13.0,18.0,Yes,Unsubscribed
42,API,Google,No,0,5.0,199,5.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
43,Landing Page Submission,Google,No,0,5.0,222,5.0,Email Opened,India,Finance Management,Online Search,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
44,Landing Page Submission,Direct Traffic,No,0,6.0,275,3.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,in touch with EINS,Other,Select,Mumbai,03.Low,01.High,10.0,18.0,Yes,Email Opened
45,Landing Page Submission,Google,No,0,4.0,287,2.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
46,Landing Page Submission,Direct Traffic,No,0,2.0,547,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Already a student,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,Yes,Email Opened
47,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
48,API,Google,No,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Worst,Other Leads,Thane & Outskirts,03.Low,02.Medium,12.0,15.0,No,Modified
49,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
50,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,15.0,16.0,No,Modified
51,Landing Page Submission,Google,No,0,5.0,160,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,Already a student,Other,Select,Mumbai,01.High,01.High,17.0,18.0,No,Email Opened
52,Landing Page Submission,Organic Search,No,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,Yes,Modified
53,API,Google,No,0,6.0,286,1.5,Olark Chat Conversation,India,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,16.0,15.0,No,Modified
54,API,Organic Search,No,0,7.0,96,2.33,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,13.0,15.0,No,Email Opened
55,API,Organic Search,No,0,2.0,12,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,switched off,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
56,Landing Page Submission,Referral Sites,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Busy,Low in Relevance,Potential Lead,Other Metro Cities,02.Medium,02.Medium,15.0,13.0,No,Modified
57,API,Referral Sites,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities of Maharashtra,01.High,02.Medium,16.0,15.0,No,Page Visited on Website
58,Landing Page Submission,Organic Search,No,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Modified
59,Landing Page Submission,Referral Sites,No,0,11.0,685,5.5,Email Opened,India,Services Excellence,Select,Unemployed,Better Career Prospects,Graduation in progress,Not Sure,Select,Thane & Outskirts,03.Low,02.Medium,11.0,13.0,Yes,Email Opened
60,API,Google,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Other Leads,Mumbai,02.Medium,02.Medium,13.0,16.0,No,Modified
61,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
62,API,Organic Search,No,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,Modified
63,API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Other,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
64,Landing Page Submission,Direct Traffic,No,1,4.0,1435,4.0,Email Opened,India,Operations Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Other Cities,03.Low,01.High,12.0,18.0,Yes,Email Opened
